"idx","period","school","exp1","exp2","school_c","work1","work2","home"
513,25,10,22,0,0,1,0,0
513,26,10,23,0,0,1,0,0
513,27,10,24,0,0,1,0,0
513,28,10,25,0,0,1,0,0
513,29,10,26,0,0,1,0,0
513,30,10,27,0,0,1,0,0
513,31,10,28,0,0,1,0,0
513,32,10,29,0,0,1,0,0
513,33,10,30,0,0,1,0,0
513,34,10,31,0,0,1,0,0
513,35,10,32,0,0,1,0,0
513,36,10,33,0,0,1,0,0
513,37,10,34,0,0,1,0,0
513,38,10,35,0,0,1,0,0
513,39,10,36,0,0,1,0,0
513,40,10,37,0,0,1,0,0
514,1,10,0,0,0,0,0,0
514,2,10,1,0,0,1,0,0
514,3,10,2,0,0,1,0,0
514,4,10,2,1,0,0,1,0
514,5,10,2,2,0,0,1,0
514,6,10,3,2,0,1,0,0
514,7,10,4,2,0,1,0,0
514,8,10,4,3,0,0,1,0
514,9,10,4,4,0,0,1,0
514,10,10,5,4,0,1,0,0
514,11,10,6,4,0,1,0,0
514,12,10,6,5,0,0,1,0
514,13,11,6,5,1,0,0,0
514,14,11,6,6,0,0,1,0
514,15,11,6,7,0,0,1,0
514,16,11,6,8,0,0,1,0
514,17,11,6,9,0,0,1,0
514,18,11,6,10,0,0,1,0
514,19,11,6,11,0,0,1,0
514,20,11,6,12,0,0,1,0
514,21,11,6,13,0,0,1,0
514,22,11,6,14,0,0,1,0
514,23,11,6,15,0,0,1,0
514,24,11,6,16,0,0,1,0
514,25,11,6,17,0,0,1,0
514,26,11,6,18,0,0,1,0
514,27,11,6,19,0,0,1,0
514,28,11,6,20,0,0,1,0
514,29,11,6,21,0,0,1,0
514,30,11,6,22,0,0,1,0
514,31,11,6,23,0,0,1,0
514,32,11,6,24,0,0,1,0
514,33,11,6,25,0,0,1,0
514,34,11,6,26,0,0,1,0
514,35,11,6,27,0,0,1,0
514,36,11,6,28,0,0,1,0
514,37,11,6,29,0,0,1,0
514,38,11,6,30,0,0,1,0
514,39,11,6,31,0,0,1,0
514,40,11,6,32,0,0,1,0
515,1,10,0,0,0,0,0,0
515,2,10,1,0,0,1,0,0
515,3,10,2,0,0,1,0,0
515,4,10,3,0,0,1,0,0
515,5,10,4,0,0,1,0,0
515,6,10,4,0,0,0,0,1
515,7,10,5,0,0,1,0,0
515,8,10,6,0,0,1,0,0
515,9,10,7,0,0,1,0,0
515,10,10,8,0,0,1,0,0
515,11,10,9,0,0,1,0,0
515,12,10,10,0,0,1,0,0
515,13,10,11,0,0,1,0,0
515,14,10,12,0,0,1,0,0
515,15,10,13,0,0,1,0,0
515,16,10,14,0,0,1,0,0
515,17,10,15,0,0,1,0,0
515,18,10,16,0,0,1,0,0
